"prob.","density","avgSpeed","Flow"
"0.200000","0.010000","4.801336","0.960800"
"0.200000","0.020000","4.799324","1.919200"
"0.200000","0.030000","4.797827","2.879600"
"0.200000","0.040000","4.796016","3.838000"
"0.200000","0.050000","4.793478","4.795600"
"0.200000","0.060000","4.790408","5.749600"
"0.200000","0.070000","4.787419","6.700800"
"0.200000","0.080000","4.782120","7.652000"
"0.200000","0.090000","4.772196","8.593600"
"0.200000","0.100000","4.759013","9.498000"
"0.200000","0.110000","4.738871","10.404400"
"0.200000","0.120000","4.687403","11.231200"
"0.200000","0.130000","4.509937","11.706400"
"0.200000","0.140000","4.192383","11.725200"
"0.200000","0.150000","3.856083","11.574800"
"0.200000","0.160000","3.580452","11.456800"
"0.200000","0.170000","3.347912","11.384000"
"0.200000","0.180000","3.127547","11.245600"
"0.200000","0.190000","2.933531","11.128000"
"0.200000","0.200000","2.749695","11.021600"
"0.200000","0.210000","2.597872","10.927200"
"0.200000","0.220000","2.455969","10.816000"
"0.200000","0.230000","2.320396","10.658000"
"0.200000","0.240000","2.197595","10.550000"
"0.200000","0.250000","2.084775","10.434800"
"0.200000","0.260000","1.981309","10.288000"
"0.200000","0.270000","1.883791","10.207200"
"0.200000","0.280000","1.795424","10.061200"
"0.200000","0.290000","1.706361","9.910800"
"0.200000","0.300000","1.634834","9.812800"
"0.200000","0.310000","1.557615","9.662800"
"0.200000","0.320000","1.490286","9.511200"
"0.200000","0.330000","1.426475","9.417200"
"0.200000","0.340000","1.364503","9.305200"
"0.200000","0.350000","1.307807","9.155200"
"0.200000","0.360000","1.252243","8.992400"
"0.200000","0.370000","1.202008","8.886400"
"0.200000","0.380000","1.151941","8.754400"
"0.200000","0.390000","1.107112","8.633600"
"0.200000","0.400000","1.061714","8.492000"
"0.200000","0.410000","1.020407","8.364800"
"0.200000","0.420000","0.980477","8.222000"
"0.200000","0.430000","0.941991","8.092800"
"0.200000","0.440000","0.906067","7.960400"
"0.200000","0.450000","0.870907","7.828000"
"0.200000","0.460000","0.837200","7.705200"
"0.200000","0.470000","0.805358","7.575600"
"0.200000","0.480000","0.774708","7.426800"
"0.200000","0.490000","0.745550","7.289600"
"0.200000","0.500000","0.717287","7.174800"
"0.200000","0.510000","0.690982","7.046400"
"0.200000","0.520000","0.663967","6.913200"
"0.200000","0.530000","0.638759","6.772000"
"0.200000","0.540000","0.614761","6.639600"
"0.200000","0.550000","0.591890","6.514000"
"0.200000","0.560000","0.569320","6.367200"
"0.200000","0.570000","0.547157","6.233600"
"0.200000","0.580000","0.525823","6.086800"
"0.200000","0.590000","0.506042","5.974400"
"0.200000","0.600000","0.486316","5.833600"
"0.200000","0.610000","0.466941","5.691600"
"0.200000","0.620000","0.448474","5.552400"
"0.200000","0.630000","0.430760","5.433200"
"0.200000","0.640000","0.413436","5.293600"
"0.200000","0.650000","0.396633","5.152400"
"0.200000","0.660000","0.380023","5.011200"
"0.200000","0.670000","0.364443","4.884000"
"0.200000","0.680000","0.348946","4.746000"
"0.200000","0.690000","0.333525","4.606800"
"0.200000","0.700000","0.319099","4.461600"
"0.200000","0.710000","0.304904","4.328000"
"0.200000","0.720000","0.290820","4.187200"
"0.200000","0.730000","0.277232","4.045200"
"0.200000","0.740000","0.264157","3.910400"
"0.200000","0.750000","0.251151","3.772000"
"0.200000","0.760000","0.238429","3.622800"
"0.200000","0.770000","0.225965","3.480400"
"0.200000","0.780000","0.214218","3.346000"
"0.200000","0.790000","0.202158","3.195600"
"0.200000","0.800000","0.186522","2.869600"
"0.200000","0.810000","0.175760","2.734800"
"0.200000","0.820000","0.164941","2.594000"
"0.200000","0.830000","0.153901","2.447600"
"0.200000","0.840000","0.143601","2.307600"
"0.200000","0.850000","0.133359","2.165600"
"0.200000","0.860000","0.123338","2.022400"
"0.200000","0.870000","0.113811","1.885600"
"0.200000","0.880000","0.103858","1.739600"
"0.200000","0.890000","0.094327","1.596800"
"0.200000","0.900000","0.085251","1.451600"
"0.200000","0.910000","0.075970","1.310800"
"0.200000","0.920000","0.067094","1.172400"
"0.200000","0.930000","0.058328","1.029600"
"0.200000","0.940000","0.049547","0.888000"
"0.200000","0.950000","0.041001","0.746000"
