"prob.","density","avgSpeed","Flow"
"0.200000","0.010000","4.799080","0.958800"
"0.200000","0.020000","4.794700","1.918400"
"0.200000","0.030000","4.793411","2.876000"
"0.200000","0.040000","4.789934","3.831600"
"0.200000","0.050000","4.785693","4.782400"
"0.200000","0.060000","4.782707","5.739600"
"0.200000","0.070000","4.774985","6.680000"
"0.200000","0.080000","4.768821","7.629600"
"0.200000","0.090000","4.755286","8.560400"
"0.200000","0.100000","4.723742","9.428800"
"0.200000","0.110000","4.613603","10.132000"
"0.200000","0.120000","4.361235","10.448400"
"0.200000","0.130000","4.149571","10.774000"
"0.200000","0.140000","3.920134","10.960800"
"0.200000","0.150000","3.667611","10.998800"
"0.200000","0.160000","3.444222","11.032400"
"0.200000","0.170000","3.205816","10.904800"
"0.200000","0.180000","2.987860","10.767600"
"0.200000","0.190000","2.808172","10.664800"
"0.200000","0.200000","2.639045","10.560800"
"0.200000","0.210000","2.499404","10.505600"
"0.200000","0.220000","2.352992","10.381200"
"0.200000","0.230000","2.224667","10.235600"
"0.200000","0.240000","2.115217","10.131600"
"0.200000","0.250000","2.005028","10.010800"
"0.200000","0.260000","1.912829","9.936800"
"0.200000","0.270000","1.820104","9.821200"
"0.200000","0.280000","1.730147","9.675600"
"0.200000","0.290000","1.653818","9.571600"
"0.200000","0.300000","1.576143","9.460000"
"0.200000","0.310000","1.508519","9.366400"
"0.200000","0.320000","1.445617","9.253600"
"0.200000","0.330000","1.385686","9.157200"
"0.200000","0.340000","1.328191","9.044000"
"0.200000","0.350000","1.271611","8.907200"
"0.200000","0.360000","1.218640","8.774400"
"0.200000","0.370000","1.169651","8.666400"
"0.200000","0.380000","1.124462","8.556400"
"0.200000","0.390000","1.079822","8.409600"
"0.200000","0.400000","1.037671","8.316800"
"0.200000","0.410000","0.999132","8.191600"
"0.200000","0.420000","0.961113","8.074800"
"0.200000","0.430000","0.925529","7.966800"
"0.200000","0.440000","0.890337","7.837200"
"0.200000","0.450000","0.856421","7.718800"
"0.200000","0.460000","0.823919","7.590400"
"0.200000","0.470000","0.792590","7.454000"
"0.200000","0.480000","0.762404","7.327600"
"0.200000","0.490000","0.734515","7.207200"
"0.200000","0.500000","0.707481","7.082000"
"0.200000","0.510000","0.681761","6.958000"
"0.200000","0.520000","0.656094","6.827200"
"0.200000","0.530000","0.631533","6.707600"
"0.200000","0.540000","0.608165","6.568000"
"0.200000","0.550000","0.585356","6.432000"
"0.200000","0.560000","0.563496","6.314800"
"0.200000","0.570000","0.541952","6.188800"
"0.200000","0.580000","0.521538","6.035200"
"0.200000","0.590000","0.501854","5.933200"
"0.200000","0.600000","0.482451","5.792000"
"0.200000","0.610000","0.464374","5.656800"
"0.200000","0.620000","0.445799","5.531600"
"0.200000","0.630000","0.427789","5.379200"
"0.200000","0.640000","0.410376","5.264400"
"0.200000","0.650000","0.394429","5.126400"
"0.200000","0.660000","0.378012","4.988800"
"0.200000","0.670000","0.362150","4.860000"
"0.200000","0.680000","0.346981","4.721200"
"0.200000","0.690000","0.332256","4.588000"
"0.200000","0.700000","0.317648","4.448000"
"0.200000","0.710000","0.303023","4.305200"
"0.200000","0.720000","0.289709","4.172400"
"0.200000","0.730000","0.276173","4.026000"
"0.200000","0.740000","0.263075","3.897200"
"0.200000","0.750000","0.250505","3.765600"
"0.200000","0.760000","0.237520","3.609600"
"0.200000","0.770000","0.225199","3.462800"
"0.200000","0.780000","0.213445","3.329200"
"0.200000","0.790000","0.201372","3.181200"
"0.200000","0.800000","0.186157","2.875600"
"0.200000","0.810000","0.175565","2.737200"
"0.200000","0.820000","0.164520","2.590000"
"0.200000","0.830000","0.154177","2.450800"
"0.200000","0.840000","0.143656","2.314000"
"0.200000","0.850000","0.133347","2.170000"
"0.200000","0.860000","0.123335","2.022400"
"0.200000","0.870000","0.113627","1.876800"
"0.200000","0.880000","0.104033","1.739200"
"0.200000","0.890000","0.094386","1.592400"
"0.200000","0.900000","0.085151","1.452400"
"0.200000","0.910000","0.076050","1.312800"
"0.200000","0.920000","0.067030","1.171200"
"0.200000","0.930000","0.058271","1.029200"
"0.200000","0.940000","0.049513","0.884000"
"0.200000","0.950000","0.040986","0.741600"
"0.200000","0.960000","0.032554","0.603600"
"0.200000","0.970000","0.024289","0.459200"
"0.200000","0.980000","0.016130","0.315600"
"0.200000","0.990000","0.008035","0.160000"
"0.400000","0.010000","4.598848","0.920400"
"0.400000","0.020000","4.591984","1.838000"
"0.400000","0.030000","4.591056","2.754000"
"0.400000","0.040000","4.584724","3.665600"
"0.400000","0.050000","4.577462","4.577200"
"0.400000","0.060000","4.571727","5.484400"
"0.400000","0.070000","4.483165","6.277200"
"0.400000","0.080000","4.365984","6.982000"
"0.400000","0.090000","4.135534","7.450800"
"0.400000","0.100000","3.927638","7.831600"
"0.400000","0.110000","3.618747","7.947600"
"0.400000","0.120000","3.287061","7.874800"
"0.400000","0.130000","2.984697","7.745600"
"0.400000","0.140000","2.736179","7.637600"
"0.400000","0.150000","2.528042","7.573200"
"0.400000","0.160000","2.332032","7.480400"
"0.400000","0.170000","2.189539","7.440400"
"0.400000","0.180000","2.036154","7.337200"
"0.400000","0.190000","1.918360","7.285200"
"0.400000","0.200000","1.812750","7.245200"
"0.400000","0.210000","1.706736","7.177600"
"0.400000","0.220000","1.612393","7.098000"
"0.400000","0.230000","1.529814","7.044000"
"0.400000","0.240000","1.447529","6.954800"
"0.400000","0.250000","1.371029","6.856800"
"0.400000","0.260000","1.310556","6.820000"
"0.400000","0.270000","1.249174","6.747600"
"0.400000","0.280000","1.191741","6.672000"
"0.400000","0.290000","1.136849","6.590000"
"0.400000","0.300000","1.088693","6.541200"
"0.400000","0.310000","1.039630","6.447200"
"0.400000","0.320000","0.996739","6.373200"
"0.400000","0.330000","0.949796","6.271600"
"0.400000","0.340000","0.913909","6.200800"
"0.400000","0.350000","0.876591","6.142400"
"0.400000","0.360000","0.841648","6.052800"
